Seed,Dataset,Approach,NMI,GC,ILF1,ARI,EBM,KNN Acc,ASW_B,ASW_C
31415,MouseCellAtlas,FedscGen-SMPC,0.8147469437826428,0.9982381959126146,0.0354558610709117,0.4994450715219113,0.312878343801056,0.9022740388673276,0.8707517159853319,0.6059059947729111
101112,MouseCellAtlas,FedscGen-SMPC,0.8002403372672223,0.9991043439319302,0.0354558610709117,0.4686355331307736,0.2940246176907599,0.891200516292547,0.8745013696764982,0.5781218409538269
42,MouseHematopoieticStemProgenitorCells,FedscGen-SMPC,0.6249067149521013,1.0,0.1322957198443579,0.4108481730971038,0.2971016586842562,0.6380668887395894,0.7633051866074164,0.6115221306681633
123,MouseHematopoieticStemProgenitorCells,FedscGen-SMPC,0.6166687374965347,1.0,0.1322957198443579,0.3989873270756968,0.2724652854683734,0.6454599880505386,0.7269208310691173,0.6196415573358536
456,MouseHematopoieticStemProgenitorCells,FedscGen-SMPC,0.636635666111695,0.985404688191066,0.1322957198443579,0.355730307257025,0.3096968541610881,0.6377042222028464,0.76543610020992,0.6267986595630646
789,MouseHematopoieticStemProgenitorCells,FedscGen-SMPC,0.5994773752401831,1.0,0.1322957198443579,0.3858048162076299,0.2840539931944123,0.6320208455611682,0.7712512340892586,0.6195143461227417
1618,MouseHematopoieticStemProgenitorCells,FedscGen-SMPC,0.6166364113872015,1.0,0.1322957198443579,0.4221415888687683,0.2762928761095682,0.6439139979187496,0.7699486247817653,0.6253236085176468
2024,MouseHematopoieticStemProgenitorCells,FedscGen-SMPC,0.6285811267229303,1.0,0.1322957198443579,0.3970758860768215,0.3142968744645086,0.639930416951728,0.7468923146583508,0.6195123940706253
2718,MouseHematopoieticStemProgenitorCells,FedscGen-SMPC,0.6099666233122049,0.9964617425917736,0.1322957198443579,0.4491367467701014,0.2611087709912441,0.6354222880823374,0.7365682423413498,0.6204883456230164
9999,MouseHematopoieticStemProgenitorCells,FedscGen-SMPC,0.5948519398833625,1.0,0.1322957198443579,0.3364776738932972,0.2685594965066651,0.642055076069205,0.7589455431308902,0.6305543184280396
31415,MouseHematopoieticStemProgenitorCells,FedscGen-SMPC,0.5938672503117559,1.0,0.1322957198443579,0.3520221278043849,0.2781491052653629,0.6467028002675621,0.7555960133944349,0.6252160221338272
